HomeCornersAvg,AwayCornersAvg,HomeYellowAvg,AwayYellowAvg,CornersOver9_5,CardsOver4_5
21,5.09,6.05,74,0,1
28,4.03,4.93,74,1,1
28,4.92,4.64,83,1,1
24,5.39,6.17,82,0,1
27,4.41,2.96,59,1,0
28,4.0,5.29,70,1,0
27,4.83,5.19,67,1,0
27,4.09,5.26,48,0,0
27,5.83,3.89,71,1,0
23,4.43,3.7,48,0,0
25,4.96,5.92,81,0,1
24,3.93,6.42,57,0,0
28,4.91,4.79,71,1,0
24,5.14,5.04,86,0,1
26,4.38,4.73,71,0,0
24,5.48,5.21,70,0,0
27,3.17,5.48,69,0,0
34,4.27,6.18,58,1,0
27,4.31,5.3,80,1,1
24,3.46,4.5,61,0,0
23,3.61,3.7,78,0,1
25,4.71,6.0,80,0,1
27,4.65,4.59,62,1,0
35,4.89,4.6,75,1,1
24,4.63,4.79,79,0,1
24,3.77,4.25,89,0,1
21,4.25,5.76,71,0,0
27,4.93,5.48,68,1,0
26,3.17,4.69,67,0,0
24,3.7,4.79,70,0,0
27,5.26,5.52,74,1,1
26,4.33,4.77,71,0,0
24,6.67,4.79,88,0,1
35,4.36,5.46,64,1,0
27,5.71,4.85,79,1,1
27,5.77,5.93,64,1,0
33,4.82,4.15,64,1,0
24,5.4,5.46,77,0,1
27,3.93,5.41,59,0,0
24,4.86,5.63,71,0,0
35,4.5,4.51,63,1,0
26,4.86,4.96,71,0,0
22,5.0,4.5,75,0,1
33,5.48,4.21,68,1,0
27,3.42,5.52,88,0,1
27,6.94,4.59,94,1,1
34,6.52,4.68,74,1,1
27,5.45,5.19,79,1,1
25,4.83,3.44,86,0,1
24,5.48,6.08,70,0,0
24,5.04,4.25,56,0,0
24,4.56,4.79,59,0,0
29,4.08,3.24,67,1,0
27,4.29,3.89,63,1,0
35,4.18,3.09,68,1,0
27,6.19,5.33,76,1,1
22,4.04,4.5,64,0,0
26,4.29,4.77,71,0,0
24,3.78,6.08,74,0,1
33,4.0,5.27,63,1,0
24,4.82,5.88,79,0,1
22,5.34,3.14,72,0,0
24,4.09,4.0,59,0,0
27,3.62,3.81,43,0,0
24,5.17,4.29,61,0,0
31,3.42,5.71,88,1,1
34,3.78,3.15,74,1,0
27,4.37,4.7,63,1,0
33,6.19,5.94,76,1,1
26,4.96,4.96,75,0,1
24,5.13,4.25,83,0,1
33,6.19,5.33,76,1,1
34,5.42,4.68,88,1,1
22,5.48,4.5,71,0,0
22,4.78,5.09,85,0,1
24,6.67,5.46,88,0,1
27,4.0,4.52,70,0,0
23,5.07,5.13,81,0,1
35,5.33,5.63,79,1,1
33,5.36,5.27,56,1,0
25,4.96,6.8,75,0,1
24,5.96,4.29,83,0,1
21,3.44,4.29,88,0,1
27,6.34,5.07,83,1,1
24,4.93,6.0,78,0,1
24,3.7,6.08,70,0,0
27,4.85,2.78,56,1,0
27,5.75,4.48,86,1,1
27,4.29,5.93,58,1,0
26,5.04,4.54,56,0,0
28,5.59,5.5,85,1,1
24,4.91,3.67,71,0,0
27,4.0,3.96,58,0,0
28,7.0,4.71,75,1,1
24,4.18,3.79,68,0,0
24,5.04,5.25,56,0,0
35,4.17,6.63,63,1,0
25,4.71,5.32,63,0,0
27,4.29,4.33,71,1,0
28,5.63,3.71,58,1,0
23,5.4,3.65,92,0,1
24,5.27,6.0,77,0,1
34,4.92,5.21,83,1,1
35,3.48,4.6,78,1,1
24,4.88,6.17,71,0,0
27,4.65,6.07,62,1,0
24,4.21,6.08,61,0,0
26,5.41,4.77,84,1,1
24,4.3,2.5,78,0,1
34,5.31,4.91,80,1,1
28,4.27,5.71,65,1,0
34,4.27,4.29,65,1,0
25,5.24,4.4,64,0,0
27,5.82,5.19,89,1,1
26,4.09,5.42,54,0,0
28,5.26,4.71,74,1,1
23,3.78,4.52,67,0,0
27,4.46,2.7,71,1,0
22,3.78,4.5,67,0,0
27,5.08,5.33,71,1,0
29,4.41,3.24,59,1,0
34,4.71,6.18,63,1,0
28,5.49,5.57,74,1,1
26,5.13,4.58,74,0,0
32,4.64,4.72,79,1,1
22,5.5,4.5,75,0,1
35,4.29,4.86,63,1,0
31,6.94,5.71,94,1,1
33,4.88,5.12,68,1,0
35,5.36,4.14,56,1,0
24,6.52,4.29,74,0,0
24,4.42,4.0,58,0,0
23,5.38,6.3,71,0,0
27,5.0,5.93,73,1,1
24,4.67,3.25,71,0,0
28,5.5,4.54,75,1,1
22,4.47,5.5,68,0,0
24,4.33,4.0,50,0,0
35,4.42,4.83,83,1,1
23,5.42,6.3,88,0,1
33,4.92,4.79,83,1,1
34,4.97,6.18,77,1,1
28,3.71,6.29,88,1,1
27,5.48,5.63,52,1,0
24,6.52,5.83,65,0,0
35,4.52,4.51,70,1,0
28,4.34,5.07,74,1,1
34,4.52,4.76,70,1,0
35,4.69,5.03,77,1,1
33,3.42,5.94,71,1,0
24,4.78,6.04,85,0,1
24,4.85,3.67,56,0,0
28,4.82,5.5,79,1,1
33,4.66,4.15,80,1,1
28,4.64,3.96,79,1,1
25,3.78,5.92,67,0,0
24,4.29,3.46,63,0,0
24,4.67,4.33,71,0,0
23,5.13,2.57,83,0,1
27,4.04,5.11,59,0,0
26,4.63,6.58,79,0,1
27,5.92,3.63,71,1,0
27,5.69,6.22,86,1,1
35,5.15,4.57,71,1,0
21,4.3,4.29,78,0,1
25,5.4,5.32,77,0,1
27,4.41,5.07,74,1,1
28,4.42,5.18,76,1,1
25,4.41,3.76,78,0,1
21,4.46,5.19,71,0,0
27,5.77,5.63,64,1,0
21,6.3,3.67,82,0,1
24,5.77,5.83,64,0,0
35,5.15,6.63,70,1,0
22,5.21,5.09,83,0,1
27,4.64,6.26,82,1,1
35,6.4,5.0,84,1,1
26,5.11,4.12,59,0,0
24,5.07,4.58,93,0,1
34,5.04,4.38,56,1,0
24,5.59,7.63,85,0,1
35,5.72,4.83,88,1,1
24,6.0,5.83,75,0,1
24,5.31,4.54,80,0,1
35,6.79,5.2,93,1,1
28,4.34,3.96,74,1,0
27,3.71,5.48,88,0,1
33,4.41,5.18,74,1,1
24,4.08,4.0,79,0,1
27,4.04,4.48,79,0,1
25,4.57,5.32,75,0,1
28,4.32,5.29,84,1,1
27,3.93,5.19,63,0,0
34,4.2,4.88,76,1,1
28,4.52,3.71,81,1,1
25,4.59,4.2,79,0,1
24,5.42,5.08,88,0,1
24,3.1,4.33,71,0,0
27,3.03,4.33,68,0,0
35,4.78,7.43,85,1,1
27,5.46,4.85,71,1,0
27,5.37,4.59,81,1,1
21,5.26,4.52,74,0,0
24,6.86,4.25,89,0,1
24,3.46,4.63,71,0,0
28,4.59,4.71,79,1,1
26,5.37,4.77,81,1,1
27,5.75,4.67,86,1,1
27,5.18,3.81,61,1,0
21,4.91,4.71,45,0,0
24,6.4,6.21,84,0,1
25,5.0,3.76,73,0,0
35,4.92,4.83,67,1,0
24,4.08,4.67,79,0,1
23,4.41,4.52,74,0,0
24,3.71,5.96,88,0,1
27,4.42,3.37,71,1,0
28,4.96,5.07,67,1,0
27,4.54,5.41,54,1,0
35,6.0,4.83,79,1,1
34,5.69,5.26,97,1,1
26,4.27,4.23,73,0,0
28,4.27,4.43,73,1,0
27,6.86,3.89,89,1,1
24,3.62,4.5,54,0,0
24,4.97,6.17,77,0,1
24,5.83,5.33,71,0,0
25,5.17,5.08,86,0,1
25,4.46,5.0,77,0,1
34,3.42,4.79,63,1,0
23,4.45,3.74,77,0,1
35,5.0,6.29,74,1,1
28,4.29,5.71,63,1,0
24,3.48,4.79,78,0,1
28,5.71,3.54,79,1,1
25,3.93,5.92,57,0,0
25,3.58,4.44,79,0,1
28,5.43,5.68,76,1,1
27,5.21,4.59,83,1,1
24,4.8,4.08,96,0,1
24,4.5,4.42,67,0,0
24,5.12,4.67,76,0,1
26,4.65,5.42,62,0,0
24,4.29,4.79,63,0,0
27,4.18,4.33,68,0,0
34,4.92,4.38,83,1,1
27,4.82,3.96,79,1,1
23,4.96,5.7,75,0,1
27,4.27,5.26,58,0,0
29,4.14,6.07,52,1,0
33,4.69,4.15,77,1,1
34,4.85,5.35,56,1,0
27,4.0,5.07,70,0,0
24,4.0,4.25,70,0,0
28,4.43,5.36,48,1,0
34,6.73,4.41,81,1,1
33,6.79,5.97,93,1,1
29,4.09,4.24,73,1,0
24,4.09,3.67,54,0,0
27,4.67,5.3,71,1,0
34,4.91,5.35,77,1,1
27,3.71,3.89,54,0,0
35,3.44,5.2,88,1,1
22,5.08,5.5,71,0,0
33,5.14,5.97,86,1,1
26,4.07,4.77,54,0,0
24,4.52,4.5,70,0,0
33,4.78,5.76,70,1,0
27,4.0,5.3,70,0,0
24,4.76,2.5,70,0,0
27,5.15,4.59,70,1,0
34,5.09,6.18,76,1,1
26,5.94,6.85,71,1,0
25,4.46,5.92,71,0,0
26,5.12,4.46,76,0,1
27,5.82,3.89,76,1,1
26,4.16,4.96,76,0,1
22,4.41,3.14,78,0,1
24,6.38,4.96,75,0,1
35,4.92,5.63,83,1,1
26,4.92,4.54,83,0,1
24,5.08,5.71,92,0,1
27,3.79,4.48,71,0,0
25,4.37,5.68,63,0,0
23,5.0,6.3,56,0,0
25,4.91,2.92,71,0,0
27,4.39,5.41,75,1,1
28,4.43,5.93,75,1,1
28,4.57,5.04,75,1,1
28,4.29,5.43,63,1,0
24,5.38,4.67,71,0,0
24,4.91,4.13,68,0,0
32,4.4,4.72,88,1,1
28,6.25,5.57,71,1,0
35,4.04,4.14,63,1,0
35,4.14,5.49,52,1,0
34,4.27,4.91,58,1,0
21,6.0,3.67,75,0,1
24,4.52,5.13,70,0,0
25,4.04,4.84,59,0,0
25,5.7,5.32,61,0,0
22,5.34,4.64,72,0,0
25,5.36,4.84,75,0,1
22,5.75,4.09,86,0,1
24,4.07,4.29,54,0,0
24,4.79,5.08,88,0,1
24,4.66,7.63,83,0,1
28,4.67,6.29,67,1,0
34,7.32,3.15,88,1,1
24,4.64,4.25,79,0,1
24,5.13,6.0,79,0,1
35,6.37,6.26,74,1,1
33,6.21,5.06,85,1,1
28,5.96,5.71,74,1,1
33,3.89,5.33,59,1,0
25,5.18,4.08,82,0,1
22,4.04,4.5,64,0,0
27,5.07,3.63,81,1,1
24,4.42,4.5,58,0,0
22,5.17,3.14,86,0,1
35,5.0,4.51,74,1,0
26,4.67,4.12,89,0,1
28,4.93,4.93,70,1,0
29,5.45,3.24,67,1,0
25,5.07,5.68,93,0,1
24,4.27,5.21,73,0,0
23,7.32,2.57,88,0,1
27,5.21,3.37,73,1,0
24,4.43,4.25,75,0,1
34,3.62,5.21,54,1,0
35,6.79,5.03,93,1,1
24,3.79,4.38,71,0,0
28,4.41,4.57,59,1,0
24,4.47,4.25,68,0,0
24,5.48,5.83,70,0,0
21,5.15,5.76,71,0,0
35,6.52,3.86,65,1,0
25,5.38,4.08,71,0,0
34,4.4,5.35,71,1,0
27,5.36,5.33,80,1,1
25,3.71,4.44,88,0,1
28,5.67,4.86,63,1,0
24,6.67,6.17,88,0,1
